texto,sentimento
"Produto incrível, superou todas as minhas expectativas!",positivo
"Entrega demorou demais e o produto veio com defeito.",negativo
"É ok, funciona como descrito mas nada especial.",neutro
"Amei! Qualidade excelente e chegou antes do prazo.",positivo
"Péssima experiência, o atendimento foi horrível.",negativo
"Produto razoável pelo preço. Nem bom nem ruim.",neutro
"Recomendo muito! Já comprei três vezes e sempre ótimo.",positivo
"Veio errado e o suporte demorou uma semana para responder.",negativo
"Funciona bem, mas a embalagem estava um pouco amassada.",neutro
"Melhor compra que fiz esse ano! Perfeito em todos os sentidos.",positivo
"Não vale o preço. Qualidade muito abaixo do esperado.",negativo
"Produto adequado. Faz o que promete sem surpresas.",neutro
"Chegou rapidíssimo e funcionando perfeitamente. Adorei!",positivo
"Decepcionante. Parou de funcionar em menos de um mês.",negativo
"Nada demais, mas cumpre o papel básico.",neutro
"Surpreendente! Qualidade muito acima do que esperava pelo valor.",positivo
"Produto com cheiro forte e embalagem rasgada. Péssimo.",negativo
"Comprei com expectativa baixa e foi exatamente isso.",neutro
"Atendimento nota 10 e produto chegou impecável!",positivo
"Frustrado. Anunciaram uma coisa e entregaram outra.",negativo
"Produto médio. Dá pra usar, mas existem melhores opções.",neutro
"Fantástico! Minha família adorou. Vale cada centavo.",positivo
"Lixo total. Jogou na primeira semana.",negativo
"Compra tranquila. Produto conforme descrito.",neutro
"Produto de altíssima qualidade, recomendo de olhos fechados!",positivo
"O pior produto que já comprei nessa plataforma.",negativo
"Nada extraordinário. Cumpre a função básica.",neutro
"Entrega super rápida e produto excelente. Voltarei a comprar!",positivo
"Veio com peças faltando e o suporte não resolveu.",negativo
"Produto simples. Funciona bem para o uso cotidiano.",neutro
"Estou muito satisfeita! Superou minhas expectativas.",positivo
"Horrível. Parou de funcionar no segundo dia.",negativo
"Razoável. Nem gostei muito nem desgostei.",neutro
"Maravilhoso! Entrega rápida e qualidade impecável.",positivo
"Produto com defeito de fábrica. Muito decepcionante.",negativo
"Produto ok. Faz o que promete.",neutro
"Excelente custo-benefício! Recomendo a todos.",positivo
"Compra arrependida. Qualidade muito ruim para o preço.",negativo
"Produto satisfatório. Atendeu às expectativas básicas.",neutro
"Top demais! Já indiquei para vários amigos.",positivo
"Muito frágil. Quebrou fácil.",negativo
"Produto mediano. Nada especial, mas funciona.",neutro
"Superou expectativas! Produto de primeira qualidade.",positivo
"Demorou o dobro do prazo e chegou diferente do anunciado.",negativo
"Produto comum. Atende o básico.",neutro
"Ótima compra! Produto durável e bem acabado.",positivo
"Produto com cheiro desagradável e aparência inferior ao anunciado.",negativo
"Compra neutra. Produto dentro do esperado.",neutro
"Adorei! Entrega expressa e produto perfeito.",positivo
"Arrependimento total. Não recomendo para ninguém.",negativo
"Produto básico mas funcional.",neutro
"Sensacional! Melhor produto dessa categoria.",positivo
"Qualidade péssima. Se pudesse daria zero estrelas.",negativo
"Está de acordo com o anunciado. Sem reclamações.",neutro
"Produto fantástico! Superou todas as expectativas.",positivo
"Decepcionante demais. Esperava muito mais.",negativo
"Produto razoável para o valor pago.",neutro
"Experiência de compra excelente do início ao fim!",positivo
"Produto horrível e atendimento pior ainda.",negativo
"Produto simples, funciona bem.",neutro
"Incrível! Qualidade premium a um preço justo.",positivo
"Produto com defeito desde o primeiro uso.",negativo
"Compra ok. Produto como descrito.",neutro
"Produto maravilhoso! Já comprei mais dois para presentear.",positivo
"Nunca mais compro nessa loja. Produto ruim e suporte inexistente.",negativo
"Produto adequado às necessidades.",neutro
"Chegou antes do prazo e com tudo funcionando. Amei!",positivo
"Total decepção. Produto fraco e entrega péssima.",negativo
"Produto dentro da média. Serve para o uso básico.",neutro
"Excelente! Qualidade superior e entrega rápida.",positivo
"Produto com mau cheiro e acabamento ruim.",negativo
"Produto satisfatório. Cumpre o que promete.",neutro
"Produto top! Recomendo sem hesitar.",positivo
"Muito abaixo do esperado. Não vale.",negativo
"Produto neutro. Nem bom nem mau.",neutro
"Ótimo produto! Durável e bem fabricado.",positivo
"Produto com defeito enviado. Péssima experiência.",negativo
"Produto dentro do esperado para a faixa de preço.",neutro
"Produto sensacional! Superou tudo que esperava.",positivo
"Produto de baixíssima qualidade. Decepcionante.",negativo
"Produto simples, faz o que deve fazer.",neutro
"Compra perfeita! Produto e entrega excelentes.",positivo
"Produto com problemas sérios de qualidade.",negativo
"Produto razoável. Atende necessidades básicas.",neutro
"Maravilhoso! Uso todo dia e funciona perfeitamente.",positivo
"Horrível! Produto estragou rapidamente.",negativo
"Produto médio. Funcional mas sem destaque.",neutro
"Estou encantada! Produto de altíssima qualidade.",positivo
"Péssimo produto. Não recomendo de jeito nenhum.",negativo
"Produto ok para o preço pago.",neutro
"Perfeito em todos os aspectos! Produto e atendimento top.",positivo
"Produto frágil e de baixa qualidade.",negativo
"Produto mediano. Faz o básico.",neutro
"Excelente qualidade! Muito satisfeito com a compra.",positivo
"Produto com defeito e atendimento lento.",negativo
"Produto funcional. Sem surpresas.",neutro
"Produto incrível! Vale muito o investimento.",positivo
"Produto péssimo. Chegou danificado.",negativo
"Produto regular. Atende o básico.",neutro
"Muito bom! Recomendo a todos os meus amigos.",positivo
"Qualidade muito ruim. Não voltarei a comprar.",negativo
"Produto simples e funcional.",neutro
"Produto excelente! Chegou rápido e funcionando.",positivo
"Decepção total. Produto muito abaixo do anunciado.",negativo
"Produto razoável. Faz o que promete.",neutro
"Produto fantástico! Adorei cada detalhe.",positivo
